Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7
2.558524533403844,-0.031469575295474214,-2.254307303043817,-1.4905769489999998,0.592879400686293,2.6091997753440097,0.1993002117544742,0.017811742684221282,-0.007242630762748065,5.183073352785556e-06,-0.39411440296236105,-0.000297628784317071,7.612552631699499e-05,-0.00023197850736646485
2.558524533403844,-0.031469575295474214,-2.2631042495538773,-1.4905769489999998,0.592879400686293,2.609176985620806,0.199291672146659,0.017811742684221282,-0.007242630762748065,5.183073352785556e-06,-0.39840587829050855,-0.000297628784317071,0.00010633211843620134,-0.00023197850736646485
2.558524533403844,-0.031469575295474214,-2.2722466642026156,-1.4905769489999998,0.592879400686293,2.6091344488883252,0.19919468220062148,0.017811742684221282,-0.007242630762748065,5.183073352785556e-06,-0.4035946112868009,-0.000297628784317071,0.00011144460010188923,-0.00023197850736646485
2.558524533403844,-0.031469575295474214,-2.2817047108191946,-1.5126961043749818,0.592879400686293,2.6090555257071575,0.199021499414544,0.017811742684221282,-0.007242630762748065,5.183073352785556e-06,-0.4092921080848328,-0.000297628784317071,0.00019121263799324624,-0.00023197850736646485
2.558524533403844,-0.031469575295474214,-2.291448553232776,-1.5505019640128601,0.592879400686293,2.6089915602653098,0.19878438128660925,0.017811742684221282,-0.007242630762748065,-0.007280922740661141,-0.4151098748181989,-0.000297628784317071,0.00022314107825714642,-0.00023197850736646485
2.558524533403844,-0.031469575295474214,-2.3014483552725222,-1.5874540461330133,0.5929376971550919,2.6088248415915065,0.1984955853149995,0.017811742684221282,-0.007242630762748065,-0.030191932417172728,-0.420659417620494,-0.000297628784317071,0.00031991534652186723,-0.00023197850736646485
2.556999875282329,-0.02719613171555511,-2.311674280767595,-1.623457552870365,0.5929376971550919,2.6087816634865204,0.1981673689978974,0.012695840647323556,0.009859444647396303,-0.05268319858930151,-0.4250776622393656,-0.0002944862816890524,0.0004815885055558023,-0.00021101367368331282
2.555620625293664,-0.02247324471535257,-2.322096493547156,-1.6584176863598399,0.5929376971550919,2.6085153125635143,0.1978119898334853,0.008796900830441316,0.026679905018858897,-0.0745075681498267,-0.4250776622393656,-0.000292493847660146,0.0006653803766287888,-0.00020069829344529093
2.554365686390294,-0.01735904200566471,-2.3326851574403684,-1.692239648736362,0.5929376971550919,2.6082030615078486,0.19744170531994565,0.005960923281667198,0.04294319933849625,-0.09541788799152746,-0.4250776622393656,-0.00028998381697785945,0.0008604392212745644,-0.00019494498059976443
2.553213961524664,-0.011911651297289626,-2.3434104362763932,-1.7248286421348555,0.5929376971550919,2.6078554643310805,0.19706877295546116,0.0040339080490938185,0.05837377659316485,-0.11516700500718305,-0.4250776622393656,-0.00028961411477894465,0.0010559133010268674,-0.0001876663490940988
2.5521443536492123,-0.006189200301025346,-2.3542424938843913,-1.756089868690244,0.5929376971550919,2.607483075044767,0.19670545023821495,0.0028618551808138066,0.07269608576972093,-0.133507766089572,-0.4250776622393656,-0.00028804484917499984,0.0011614777017674035,-0.00017277501287565552
2.551023436721533,-0.000738288898790327,-2.365251331779688,-1.785722917421929,0.5930747056070255,2.606742525440335,0.19634381640697152,0.0020153483160299038,0.08405214861512147,-0.14877189580209998,-0.4250776622393656,-0.0002837433864574093,0.0011614777017674035,3.4412045798024195e-05
2.5495251512476766,0.006018497007776425,-2.376882895984112,-1.8134345838709116,0.593334253699981,2.606389337034962,0.19630949850117335,0.001811367593737021,0.09382581549620415,-0.16150817201158865,-0.4151079569574842,-0.0002822512950104073,0.0011614777017674035,6.16416110191123e-05
2.5487133659854075,0.012229032179253084,-2.3874683915899837,-1.8398808241028561,0.5939079082604142,2.6062215092921,0.19615031820435913,0.001691036597714551,0.1010241130606903,-0.17265740712740144,-0.4022849276492302,-0.0002526987907351295,0.0011614777017674035,0.0002534475495306822
2.547819747973894,0.018594709058683344,-2.3982430664135856,-1.8650190573673893,0.5940896359062442,2.606137399673086,0.19597708641308154,0.0016009174951575704,0.10677992878657186,-0.18253148808433198,-0.38553971464120945,-0.00019363862639384775,0.0011614777017674035,0.0003073466179801404
2.546484533982472,0.02464830397745538,-2.4092167745539363,-1.8886739876825542,0.5943335389907584,2.606137399673086,0.19543910083200738,0.0014986693831725937,0.10796665856898428,-0.19013035691267083,-0.36547054336041246,-0.00014985859356098584,0.0012260731160339123,0.00033866125406463324
2.5460515497473613,0.030495069031266857,-2.419414439288951,-1.9106927365750532,0.594672526702753,2.605940287902573,0.19543910083200738,0.0014801429157801482,0.10796665856898428,-0.1949049461417187,-0.34096569069941224,-9.949086668925751e-05,0.0011614777017674035,0.0003582583062139833
2.545416726954837,0.036447477319882675,-2.4299121394394567,-1.9298044409091557,0.5947271294641922,2.605940287902573,0.19543910083200738,0.0014789358983156133,0.10796665856898428,-0.1984226112099143,-0.31398226091486403,-9.031568956360868e-05,0.0011614777017674035,0.00037556040854502506
2.5448178949722244,0.041531227318291154,-2.4402007922032345,-1.9469040703671974,0.5947271294641922,2.605940287902573,0.19543910083200738,0.001377755188297667,0.10796665856898428,-0.1991136530531921,-0.28446847193834807,-2.5930945923254338e-05,0.0011614777017674035,0.0004031446568947902
2.544785099720758,0.04644195180922883,-2.4499809224584346,-1.9615199540983008,0.5947533504792926,2.6061064099367375,0.19543910083200738,0.0013144651021961369,0.10796665856898428,-0.19928718999834372,-0.2542358172432847,8.099373845997309e-05,0.0011301321756387107,0.00041933388544791484
