act_pos1,act_pos2,act_pos3,act_pos4,act_pos5,act_pos6,act_pos7,vel1,vel2,vel3,vel4,vel5,vel6,vel7,mode
0.8667393440093036,-0.310687274,-0.754414373,-1.912211602,-0.289126032,1.8828095203652793,0.976243967,-0.001547671,0.000197196,0.000623446,-0.000383519,-0.000218741,-0.000236358,-0.000433985,no_feedback
0.8667393440093036,-0.310687274,-0.754414373,-1.912211602,-0.289126032,1.8828095203652793,0.976243967,-0.001547671,0.000197196,0.000623446,-0.000383519,-0.000218741,-0.000236358,-0.000433985,no_feedback
0.866741722,-0.310687275,-0.754417421,-1.912211602,-0.289126072,1.882810350179672,0.9762453510857927,-0.000653664,-0.000186347,0.000260554,-0.000279306,-0.00015597,-1.07E-05,-6.61E-06,no_feedback
0.8667422360400836,-0.310682981,-0.754416981,-1.912216373,-0.289126032,1.882810350179672,0.976248403,-0.000640442,-0.000438959,-0.000777567,-0.000185132,-0.000166354,0.000201246,0.001112749,no_feedback
0.8667426317900125,-0.310687036,-0.754416247,-1.912215776,-0.289126656,1.8828096381028492,0.9762432308516823,-0.000598242,0.000162958,0.00048095,-0.000891254,-0.000317996,-6.41E-05,-0.000765046,no_feedback
0.8667405381325103,-0.310683417,-0.754417241,-1.91221307,-0.28912532,1.8828096381028492,0.9762479365848832,-0.00080249,0.001017894,-0.000357086,0.000491511,0.000174243,-0.000114074,0.000897403,no_feedback
0.8667441848783051,-0.310682715,-0.754418655,-1.912216491,-0.289126032,1.8828111639817553,0.976247628,0.001073314,0.001088393,-0.001674217,-0.00025132,-0.000178007,0.000497621,0.001276654,no_feedback
0.8667443553167911,-0.310688706,-0.754416015,-1.91221482,-0.289126032,1.882810350179672,0.9762468785618844,2.1603369297645032e-05,-0.000686532,0.001165178,-0.00020633,-0.000109967,7.771817713186209e-05,0.000463556,no_feedback
0.8667410379927253,-0.310687036,-0.754417007,-1.912215226,-0.28912532,1.882810350179672,0.9762453510685861,-0.00113338,-0.000209976,-0.000711768,0.000424424,7.050092585392049e-05,4.537552241829618e-05,5.528059085493077e-05,no_feedback
0.8667422095454916,-0.310685087,-0.754419872,-1.912221261,-0.289126032,1.8828111639817553,0.9762461649238426,-9.95E-05,-8.21E-06,-0.000516832,-0.000814898,-0.000169774,0.000124177,5.063647782913017e-05,no_feedback
0.8667443808265959,-0.310687036,-0.754415402,-1.91221792,-0.289126151,1.8828103501796722,0.9762424142794425,0.000196967,-0.000744718,0.000330295,0.00011737,-0.000206833,-0.000107794,-0.000884056,no_feedback
0.8667443818032508,-0.310687036,-0.754416683,-1.91221959,-0.28912471,1.8828096381028494,0.9762424015218307,-0.00013933,-0.000722636,0.000200945,-7.22E-05,0.000215186,-0.000106746,-0.001349342,no_feedback
0.8667443818077437,-0.310687036,-0.754419384,-1.91221792,-0.289126032,1.8828111639817555,0.9762457086412082,0.000144017,-0.000455405,-0.001290796,0.00034727,-5.16E-05,0.000335396,0.000169092,no_feedback
0.8667463306497063,-0.310687036,-0.754415311,-1.912216252,-0.28912532,1.8828111639817553,0.9762424011970472,0.000486606,-0.00037123,-2.08E-05,0.000272843,-3.97E-05,0.000323234,-0.000556517,no_feedback
0.8667427084284498,-0.310685087,-0.754413641,-1.912222488,-0.28912532,1.882810350179672,0.9762431131121184,-0.000589773,0.000256108,0.000484687,-0.000772413,0.00024447,0.000164904,-0.000444272,no_feedback
0.8667581169101891,-0.31067175,-0.754401573,-1.912216356,-0.28912471,1.882810350179672,0.9762401630794887,0.002787374,6.007086992822894e-05,-0.000195325,-0.000663696,0.000138722,-0.000482055,-0.001207996,no_feedback
0.866784273,-0.31066555,-0.754344485,-1.912214579,-0.28912471,1.882814012289047,0.976241689,-0.000165917,-0.000503695,0.001168567,-0.001041852,9.186603994381967e-05,0.000644902,-0.000703895,no_feedback
0.8667751823140738,-0.310608618,-0.754361595,-1.912236488,-0.28913061,1.8828111639817553,0.9762427598994087,-0.000214266,0.002955048,-0.004069455,0.000745661,-0.001052271,0.000220015,-0.000169741,no_feedback
0.8667185295347591,-0.31060888,-0.754723228,-1.912220374,-0.289149073,1.8828043229579925,0.9762401630774948,-0.001941053,-0.00295034,-0.015319921,0.006741687,0.000405012,-0.000488195,-0.001244455,no_feedback
0.8667139054819983,-0.310717454,-0.755557888,-1.912203877,-0.28914704,1.882809995513412,0.9762416889584725,-1.39E-05,-0.002655012,-0.020258239,-0.001519921,0.000198159,-0.000103352,-0.00097913,no_feedback
0.866725891,-0.310731239,-0.75646718,-1.912203877,-0.289145004,1.882817674398421,0.9762461517879787,-0.000345425,-0.000735438,-0.013731273,0.000183289,0.000148467,-0.000193617,0.000907554,no_feedback
0.8667378222853298,-0.310663166,-0.756989635,-1.912177073,-0.289143682,1.882851319301444,0.9762210260159465,0.00049004,0.00011782,-0.006613946,0.000222282,-1.47E-05,0.00196538,-0.001857208,no_feedback
0.8667379282491596,-0.310652954,-0.757432774,-1.912180634,-0.289144394,1.882871344010025,0.9761823394894528,0.001304698,0.00239637,-0.011523965,-0.001396847,-0.000344299,0.002584998,-0.004766892,no_feedback
0.8667393705003094,-0.310099669,-0.758337726,-1.91214194,-0.289164966,1.883568509169174,0.9752428690998616,-0.000658252,0.020762254557929564,-0.031930504,0.006577528,-0.000109101,0.042385533,-0.017127238,no_feedback
0.8667272428577408,-0.308076053,-0.761766314,-1.912160202,-0.28927374,1.889659625435984,0.9744337856563609,-0.000185715,0.056397732,-0.101859859,4.704422822062086e-05,-0.010647893,0.18691336721390633,-0.005614521,no_feedback
